"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4752","04 - Usuario redefinir senha insucesso","As oito personas validar sucesso e insucesso de login e recuperacao de senha na plataforma como web","Wed Nov 06 17:52:08 BRT 2024","failed","Wed Nov 06 17:52:13 BRT 2024","","","",""
"","5093","04 - Usuario clica em ""Esqueci a senha"" na tela de Login","Validar Login com sucesso e insucesso e recuperacao de senha na plataforma mobile","Tue Nov 12 15:40:56 BRT 2024","broken","Tue Nov 12 15:41:01 BRT 2024","","","",""
"","10439","01.1 - Usuario acessar com sucesso a plataforma e fazer logout","Validar Login com sucesso e insucesso e recuperacao de senha na plataforma web","Tue Nov 12 15:41:05 BRT 2024","failed","Tue Nov 12 15:41:15 BRT 2024","","","",""
"","10655","01.1 - Usuario acessar com sucesso a plataforma e fazer logout","As oito personas validar sucesso e insucesso de login e recuperacao de senha na plataforma como web","Wed Nov 06 17:51:44 BRT 2024","failed","Wed Nov 06 17:51:54 BRT 2024","","","",""
"","13327","03 - Usuario nao preencher campos obrigatorios","Validar Login com sucesso e insucesso e recuperacao de senha na plataforma mobile","Tue Nov 12 15:40:42 BRT 2024","failed","Tue Nov 12 15:40:56 BRT 2024","","","",""
"","4141","02 - Usuario acessar com insucesso a plataforma","Validar Login com sucesso e insucesso e recuperacao de senha na plataforma web","Tue Nov 12 15:41:16 BRT 2024","passed","Tue Nov 12 15:41:20 BRT 2024","","","",""
"","4512","04 - Usuario clica em ""Esqueci a senha"" na tela de Login","Validar Login com sucesso e insucesso e recuperacao de senha na plataforma web","Tue Nov 12 15:39:02 BRT 2024","broken","Tue Nov 12 15:39:06 BRT 2024","","","",""
"","13394","05 - Usuario nao preencher campos obrigatorios","As oito personas validar sucesso e insucesso de login e recuperacao de senha na plataforma como mobile","Wed Nov 06 17:51:26 BRT 2024","failed","Wed Nov 06 17:51:40 BRT 2024","","","",""
"","13378","03 - Usuario nao preencher campos obrigatorios","Validar Login com sucesso e insucesso e recuperacao de senha na plataforma web","Tue Nov 12 15:41:20 BRT 2024","failed","Tue Nov 12 15:41:33 BRT 2024","","","",""
"","5296","03 - Usuario redefinir senha com sucesso","As oito personas validar sucesso e insucesso de login e recuperacao de senha na plataforma como web","Wed Nov 06 17:52:03 BRT 2024","failed","Wed Nov 06 17:52:08 BRT 2024","","","",""
"","4711","04 - Usuario redefinir senha insucesso","As oito personas validar sucesso e insucesso de login e recuperacao de senha na plataforma como mobile","Wed Nov 06 17:51:21 BRT 2024","failed","Wed Nov 06 17:51:26 BRT 2024","","","",""
"","10039","01.1 - Usuario acessar com sucesso a plataforma e fazer logout","Validar Login com sucesso e insucesso e recuperacao de senha na plataforma mobile","Tue Nov 12 15:40:27 BRT 2024","failed","Tue Nov 12 15:40:37 BRT 2024","","","",""
"","8173","02 - Usuario acessar com insucesso a plataforma","As oito personas validar sucesso e insucesso de login e recuperacao de senha na plataforma como mobile","Wed Nov 06 17:51:08 BRT 2024","failed","Wed Nov 06 17:51:16 BRT 2024","","","",""
"","5114","03 - Usuario redefinir senha com sucesso","As oito personas validar sucesso e insucesso de login e recuperacao de senha na plataforma como mobile","Wed Nov 06 17:51:16 BRT 2024","failed","Wed Nov 06 17:51:21 BRT 2024","","","",""
"","12878","05 - Usuario nao preencher campos obrigatorios","Validar Login com sucesso e insucesso e recuperacao de senha na plataforma mobile","Fri Nov 08 15:45:05 BRT 2024","failed","Fri Nov 08 15:45:17 BRT 2024","","","",""
"","4502","02 - Usuario acessar com insucesso a plataforma","Validar Login com sucesso e insucesso e recuperacao de senha na plataforma mobile","Tue Nov 12 15:40:38 BRT 2024","passed","Tue Nov 12 15:40:42 BRT 2024","","","",""
"","13353","05 - Usuario nao preencher campos obrigatorios","As oito personas validar sucesso e insucesso de login e recuperacao de senha na plataforma como web","Wed Nov 06 17:52:13 BRT 2024","failed","Wed Nov 06 17:52:26 BRT 2024","","","",""
"","7967","02 - Usuario acessar com insucesso a plataforma","As oito personas validar sucesso e insucesso de login e recuperacao de senha na plataforma como web","Wed Nov 06 17:51:54 BRT 2024","failed","Wed Nov 06 17:52:02 BRT 2024","","","",""
"","10445","01.1 - Usuario acessar com sucesso a plataforma e fazer logout","As oito personas validar sucesso e insucesso de login e recuperacao de senha na plataforma como mobile","Wed Nov 06 17:50:57 BRT 2024","failed","Wed Nov 06 17:51:08 BRT 2024","","","",""
"","13284","01.1 - Usuario acessar com sucesso a plataforma e fazer logout","Objetivo de desenvolvimento de testes por cenario no cypress","Tue Nov 12 15:40:10 BRT 2024","failed","Tue Nov 12 15:40:23 BRT 2024","","","",""
